DATE,ORG_CODE,TOTAL,MEET_TARGET,AE_SCORE
Q42017,RF4,"72,283","53,833",74.5
Q42017,R1H,"127,416","109,001",85.5
Q42017,AD913,"13,346","13,341",100.0
Q42017,E84069,"5,351","5,351",100.0
Q42017,Y02692,"11,566","11,566",100.0
Q42017,RYX,"54,763","54,139",98.9
Q42017,RQM,"79,686","75,170",94.3
Q42017,RJ6,"51,697","45,151",87.3
Q42017,Y02696,"3,693","3,693",100.0
Q42017,RVR,"41,283","36,778",89.1
Q42017,RJ1,"50,071","44,151",88.2
Q42017,Y03082,"11,786","11,786",100.0
Q42017,RQX,"30,992","28,939",93.4
Q42017,RY9,"14,188","14,174",99.9
Q42017,RYJ,"70,311","58,786",83.6
Q42017,RJZ,"67,828","50,315",74.2
Q42017,RAX,"29,515","25,183",85.3
Q42017,RJ2,"74,595","62,763",84.1
Q42017,R1K,"86,704","73,477",84.7
Q42017,RP6,"22,139","21,855",98.7
Q42017,RAT,"15,554","15,474",99.5
Q42017,RAP,"45,235","35,282",78.0
Q42017,Y02973,"2,530","2,530",100.0
Q42017,RT3,0,0,
Q42017,RAL,"67,832","58,021",85.5
Q42017,RAN,0,0,
Q42017,Y03047,"5,560","5,560",100.0
Q42017,RJ7,"42,122","34,828",82.7
Q42017,F84747,"7,487","7,487",100.0
Q42017,RAS,"40,297","31,957",79.3
Q42017,Y03094,"9,514","9,514",100.0
Q42017,Y03218,"10,890","10,890",100.0
Q42017,E84068,"10,127","10,127",100.0
Q42017,RRV,"34,041","29,053",85.3
Q42017,Y02147,"28,595","28,595",100.0
Q42017,Y03201,"7,013","7,013",100.0
Q42017,RKE,"26,202","22,324",85.2
Q42017,NL7,"16,946","16,946",100.0
Q42017,8J094,"9,122","9,122",100.0
Q42017,RDD,"36,050","29,810",82.7
Q42017,RC1,"18,944","15,971",84.3
Q42017,M85813,"10,200","10,200",100.0
Q42017,RQ3,"14,652","14,054",95.9
Q42017,RJF,"28,438","25,233",88.7
Q42017,RGT,"38,100","30,618",80.4
Q42017,RFS,"20,372","18,146",89.1
Q42017,NQ108,"6,633","6,624",99.9
Q42017,RDE,"36,972","34,513",93.3
Q42017,Y03571,"18,154","18,112",99.8
Q42017,RYG,0,0,
Q42017,RTG,"45,913","38,801",84.5
Q42017,RY8,"15,450","15,447",100.0
Q42017,NNJ,"5,685","5,645",99.3
Q42017,RWH,"38,598","31,121",80.6
Q42017,Y03007,"7,753","7,753",100.0
Q42017,NQ106,"1,612","1,612",100.0
Q42017,RLT,"19,926","15,482",77.7
Q42017,NEH06,"5,029","5,029",100.0
Q42017,RR1,"66,385","49,806",75.0
Q42017,RY4,"2,557","2,556",100.0
Q42017,RGQ,"22,685","20,199",89.0
Q42017,RGP,"18,152","15,201",83.7
Q42017,RNQ,"21,535","14,817",68.8
Q42017,C82038,647,647,100.0
Q42017,RY5,"32,426","31,984",98.6
Q42017,NJS05,"11,865","11,283",95.1
Q42017,RC9,"37,261","36,413",97.7
Q42017,C82009,781,781,100.0
Q42017,NLO11,"1,741","1,690",97.1
Q42017,NLO09,"1,690","1,646",97.4
Q42017,RQ8,"24,538","19,263",78.5
Q42017,RD8,"34,454","30,341",88.1
Q42017,Y02652,0,0,
Q42017,RM1,"30,964","20,499",66.2
Q42017,RGN,"36,359","26,774",73.6
Q42017,RNS,"31,329","25,579",81.6
Q42017,NMH01,"15,897","15,897",100.0
Q42017,NR3,"13,081","12,558",96.0
Q42017,RX1,"49,140","35,504",72.3
Q42017,NLO10,"6,604","6,469",98.0
Q42017,C82010,819,819,100.0
Q42017,NLO12,730,723,99.0
Q42017,Y02428,"8,050","8,050",100.0
Q42017,RXK,"53,062","42,847",80.7
Q42017,RK5,"36,824","32,509",88.3
Q42017,RXW,"30,279","20,267",66.9
Q42017,R1D,"5,556","5,551",99.9
Q42017,C83023,"2,213","2,213",100.0
Q42017,Y02615,"18,335","18,335",100.0
Q42017,RJC,"18,184","15,476",85.1
Q42017,RAJ,"24,578","19,803",80.6
Q42017,Y02961,"9,652","9,652",100.0
Q42017,RNA,"42,013","34,175",81.3
Q42017,RQW,"24,552","15,891",64.7
Q42017,RCX,"15,640","12,012",76.8
Q42017,RL1,0,0,
Q42017,RL4,"59,408","50,691",85.3
Q42017,RWD,"37,995","25,477",67.1
Q42017,RRK,"29,341","22,958",78.2
Q42017,RKB,"58,117","46,258",79.6
Q42017,RWE,"57,733","41,606",72.1
Q42017,RJE,"60,846","44,587",73.3
Q42017,RBK,"29,260","22,241",76.0
Q42017,ATQ02,"10,245","10,245",100.0
