ORG_CODE,DATE,POPULATION,QUESTION,RATING_SCORE
1-102643363,10/02/2015,Overall,Safe,1
1-102643363,10/02/2015,Overall,Effective,2
1-102643363,10/02/2015,Overall,Caring,2
1-102643363,10/02/2015,Overall,Responsive,2
1-102643363,10/02/2015,Overall,Well-led,1
1-102643363,10/02/2015,Overall,Overall,1
1-118166459,03/08/2015,Acute wards for adults of working age and psychiatric intensive care units,Safe,2
1-118166459,03/08/2015,Acute wards for adults of working age and psychiatric intensive care units,Effective,2
1-118166459,03/08/2015,Acute wards for adults of working age and psychiatric intensive care units,Caring,2
1-118166459,03/08/2015,Acute wards for adults of working age and psychiatric intensive care units,Responsive,2
1-118166459,03/08/2015,Acute wards for adults of working age and psychiatric intensive care units,Well-led,2
1-118166459,03/08/2015,Acute wards for adults of working age and psychiatric intensive care units,Overall,2
1-118166459,03/08/2015,Child and adolescent mental health wards,Safe,2
1-118166459,03/08/2015,Child and adolescent mental health wards,Effective,1
1-118166459,03/08/2015,Child and adolescent mental health wards,Caring,2
1-118166459,03/08/2015,Child and adolescent mental health wards,Responsive,2
1-118166459,03/08/2015,Child and adolescent mental health wards,Well-led,2
1-118166459,03/08/2015,Child and adolescent mental health wards,Overall,2
1-118166459,03/08/2015,Long stay/rehabilitation mental health wards for working age adults,Safe,2
1-118166459,03/08/2015,Long stay/rehabilitation mental health wards for working age adults,Effective,2
1-118166459,03/08/2015,Long stay/rehabilitation mental health wards for working age adults,Caring,2
1-118166459,03/08/2015,Long stay/rehabilitation mental health wards for working age adults,Responsive,2
1-118166459,03/08/2015,Long stay/rehabilitation mental health wards for working age adults,Well-led,2
1-118166459,03/08/2015,Long stay/rehabilitation mental health wards for working age adults,Overall,2
1-118166459,03/08/2015,Overall,Safe,2
1-118166459,03/08/2015,Overall,Effective,2
1-118166459,03/08/2015,Overall,Caring,2
1-118166459,03/08/2015,Overall,Responsive,2
1-118166459,03/08/2015,Overall,Well-led,2
1-118166459,03/08/2015,Overall,Overall,2
1-118166459,03/08/2015,Specialist eating disorders services,Safe,2
1-118166459,03/08/2015,Specialist eating disorders services,Effective,2
1-118166459,03/08/2015,Specialist eating disorders services,Caring,3
1-118166459,03/08/2015,Specialist eating disorders services,Responsive,3
1-118166459,03/08/2015,Specialist eating disorders services,Well-led,2
1-118166459,03/08/2015,Specialist eating disorders services,Overall,3
1-165291700,26/04/2017,Community health inpatient services,Safe,1
1-165291700,26/04/2017,Community health inpatient services,Effective,1
1-165291700,26/04/2017,Community health inpatient services,Caring,2
1-165291700,26/04/2017,Community health inpatient services,Responsive,1
1-165291700,26/04/2017,Community health inpatient services,Well-led,1
1-165291700,26/04/2017,Community health inpatient services,Overall,1
1-165291700,26/04/2017,Community health services for adults,Safe,2
1-165291700,26/04/2017,Community health services for adults,Effective,2
1-165291700,26/04/2017,Community health services for adults,Caring,3
1-165291700,26/04/2017,Community health services for adults,Responsive,2
1-165291700,26/04/2017,Community health services for adults,Well-led,2
1-165291700,26/04/2017,Community health services for adults,Overall,2
1-165291700,26/04/2017,"Community health services for children, young people and families",Safe,2
1-165291700,26/04/2017,"Community health services for children, young people and families",Effective,2
1-165291700,26/04/2017,"Community health services for children, young people and families",Caring,2
1-165291700,26/04/2017,"Community health services for children, young people and families",Responsive,2
1-165291700,26/04/2017,"Community health services for children, young people and families",Well-led,2
1-165291700,26/04/2017,"Community health services for children, young people and families",Overall,2
1-165291700,26/04/2017,Overall,Safe,2
1-165291700,26/04/2017,Overall,Effective,2
1-165291700,26/04/2017,Overall,Caring,2
1-165291700,26/04/2017,Overall,Responsive,2
1-165291700,26/04/2017,Overall,Well-led,1
1-165291700,26/04/2017,Overall,Overall,2
1-165291700,26/04/2017,Urgent care services,Safe,2
1-165291700,26/04/2017,Urgent care services,Effective,2
1-165291700,26/04/2017,Urgent care services,Caring,2
1-165291700,26/04/2017,Urgent care services,Responsive,2
1-165291700,26/04/2017,Urgent care services,Well-led,2
1-165291700,26/04/2017,Urgent care services,Overall,2
1-168055209,08/03/2017,Community health inpatient services,Safe,2
1-168055209,08/03/2017,Community health inpatient services,Effective,2
1-168055209,08/03/2017,Community health inpatient services,Caring,2
1-168055209,08/03/2017,Community health inpatient services,Responsive,2
1-168055209,08/03/2017,Community health inpatient services,Well-led,2
1-168055209,08/03/2017,Community health inpatient services,Overall,2
1-168055209,08/03/2017,Community health services for adults,Safe,2
1-168055209,08/03/2017,Community health services for adults,Effective,2
1-168055209,08/03/2017,Community health services for adults,Caring,2
1-168055209,08/03/2017,Community health services for adults,Responsive,2
1-168055209,08/03/2017,Community health services for adults,Well-led,2
1-168055209,08/03/2017,Community health services for adults,Overall,2
1-168055209,08/03/2017,"Community health services for children, young people and families",Safe,2
1-168055209,08/03/2017,"Community health services for children, young people and families",Effective,2
1-168055209,08/03/2017,"Community health services for children, young people and families",Caring,3
1-168055209,08/03/2017,"Community health services for children, young people and families",Responsive,2
1-168055209,08/03/2017,"Community health services for children, young people and families",Well-led,2
1-168055209,08/03/2017,"Community health services for children, young people and families",Overall,2
1-168055209,08/03/2017,End of life care,Safe,2
1-168055209,08/03/2017,End of life care,Effective,2
1-168055209,08/03/2017,End of life care,Caring,2
1-168055209,08/03/2017,End of life care,Responsive,2
1-168055209,08/03/2017,End of life care,Well-led,2
1-168055209,08/03/2017,End of life care,Overall,2
1-168055209,08/03/2017,Overall,Safe,2
1-168055209,08/03/2017,Overall,Effective,2
1-168055209,08/03/2017,Overall,Caring,2
1-168055209,08/03/2017,Overall,Responsive,2
1-168055209,08/03/2017,Overall,Well-led,2
1-168055209,08/03/2017,Overall,Overall,2
1-177460793,17/06/2016,Acute wards for adults of working age and psychiatric intensive care units,Safe,2
1-177460793,17/06/2016,Acute wards for adults of working age and psychiatric intensive care units,Effective,2
1-177460793,17/06/2016,Acute wards for adults of working age and psychiatric intensive care units,Caring,2
1-177460793,17/06/2016,Acute wards for adults of working age and psychiatric intensive care units,Responsive,2
1-177460793,17/06/2016,Acute wards for adults of working age and psychiatric intensive care units,Well-led,2
1-177460793,17/06/2016,Acute wards for adults of working age and psychiatric intensive care units,Overall,2
1-177460793,15/02/2018,Community-based mental health services for adults of working age,Safe,2
1-177460793,15/02/2018,Community-based mental health services for adults of working age,Effective,1
1-177460793,15/02/2018,Community-based mental health services for adults of working age,Caring,2
1-177460793,15/02/2018,Community-based mental health services for adults of working age,Responsive,2
1-177460793,15/02/2018,Community-based mental health services for adults of working age,Well-led,2
1-177460793,15/02/2018,Community-based mental health services for adults of working age,Overall,2
1-177460793,14/02/2017,Community-based mental health services for older people,Safe,2
1-177460793,14/02/2017,Community-based mental health services for older people,Effective,2
1-177460793,14/02/2017,Community-based mental health services for older people,Caring,2
1-177460793,14/02/2017,Community-based mental health services for older people,Responsive,2
1-177460793,14/02/2017,Community-based mental health services for older people,Well-led,2
1-177460793,14/02/2017,Community-based mental health services for older people,Overall,2
1-177460793,15/02/2018,Overall,Safe,2
1-177460793,15/02/2018,Overall,Effective,2
1-177460793,15/02/2018,Overall,Caring,3
1-177460793,15/02/2018,Overall,Responsive,2
1-177460793,15/02/2018,Overall,Well-led,2
1-177460793,15/02/2018,Overall,Overall,2
1-177460793,15/02/2018,Specialist eating disorders services,Safe,2
1-177460793,15/02/2018,Specialist eating disorders services,Effective,3
1-177460793,15/02/2018,Specialist eating disorders services,Caring,3
1-177460793,15/02/2018,Specialist eating disorders services,Responsive,2
1-177460793,15/02/2018,Specialist eating disorders services,Well-led,3
1-177460793,15/02/2018,Specialist eating disorders services,Overall,3
1-177460793,15/02/2018,Wards for older people with mental health problems,Safe,2
1-177460793,15/02/2018,Wards for older people with mental health problems,Effective,2
1-177460793,15/02/2018,Wards for older people with mental health problems,Caring,3
1-177460793,15/02/2018,Wards for older people with mental health problems,Responsive,3
1-177460793,15/02/2018,Wards for older people with mental health problems,Well-led,3
1-177460793,15/02/2018,Wards for older people with mental health problems,Overall,3
1-185352105,15/02/2017,Acute wards for adults of working age and psychiatric intensive care units,Safe,1
1-185352105,15/02/2017,Acute wards for adults of working age and psychiatric intensive care units,Effective,1
1-185352105,15/02/2017,Acute wards for adults of working age and psychiatric intensive care units,Caring,1
1-185352105,15/02/2017,Acute wards for adults of working age and psychiatric intensive care units,Responsive,1
1-185352105,15/02/2017,Acute wards for adults of working age and psychiatric intensive care units,Well-led,1
1-185352105,15/02/2017,Acute wards for adults of working age and psychiatric intensive care units,Overall,1
1-186610815,08/03/2017,Community health services for adults,Safe,2
1-186610815,08/03/2017,Community health services for adults,Effective,2
1-186610815,08/03/2017,Community health services for adults,Caring,2
1-186610815,08/03/2017,Community health services for adults,Responsive,2
1-186610815,08/03/2017,Community health services for adults,Well-led,2
1-186610815,08/03/2017,Community health services for adults,Overall,2
1-186610815,08/03/2017,"Community health services for children, young people and families",Safe,2
1-186610815,08/03/2017,"Community health services for children, young people and families",Effective,2
1-186610815,08/03/2017,"Community health services for children, young people and families",Caring,3
1-186610815,08/03/2017,"Community health services for children, young people and families",Responsive,2
1-186610815,08/03/2017,"Community health services for children, young people and families",Well-led,2
1-186610815,08/03/2017,"Community health services for children, young people and families",Overall,2
1-186610815,08/03/2017,End of life care,Safe,2
1-186610815,08/03/2017,End of life care,Effective,2
1-186610815,08/03/2017,End of life care,Caring,3
1-186610815,08/03/2017,End of life care,Responsive,3
1-186610815,08/03/2017,End of life care,Well-led,2
1-186610815,08/03/2017,End of life care,Overall,3
1-186610815,08/03/2017,Overall,Safe,2
1-186610815,08/03/2017,Overall,Effective,2
1-186610815,08/03/2017,Overall,Caring,3
1-186610815,08/03/2017,Overall,Responsive,2
1-186610815,08/03/2017,Overall,Well-led,3
1-186610815,08/03/2017,Overall,Overall,3
1-191582971,26/04/2017,Community health services for adults,Safe,2
1-191582971,26/04/2017,Community health services for adults,Effective,2
1-191582971,26/04/2017,Community health services for adults,Caring,2
1-191582971,26/04/2017,Community health services for adults,Responsive,2
1-191582971,26/04/2017,Community health services for adults,Well-led,2
1-191582971,26/04/2017,Community health services for adults,Overall,2
1-191582971,26/04/2017,"Community health services for children, young people and families",Safe,2
1-191582971,26/04/2017,"Community health services for children, young people and families",Effective,2
1-191582971,26/04/2017,"Community health services for children, young people and families",Caring,2
1-191582971,26/04/2017,"Community health services for children, young people and families",Responsive,2
1-191582971,26/04/2017,"Community health services for children, young people and families",Well-led,1
1-191582971,26/04/2017,"Community health services for children, young people and families",Overall,2
1-191582971,26/04/2017,End of life care,Safe,2
1-191582971,26/04/2017,End of life care,Effective,2
1-191582971,26/04/2017,End of life care,Caring,2
1-191582971,26/04/2017,End of life care,Responsive,3
1-191582971,26/04/2017,End of life care,Well-led,3
1-191582971,26/04/2017,End of life care,Overall,3
1-191582971,26/04/2017,Urgent care services,Safe,2
1-191582971,26/04/2017,Urgent care services,Effective,2
1-191582971,26/04/2017,Urgent care services,Caring,2
1-191582971,26/04/2017,Urgent care services,Responsive,2
1-191582971,26/04/2017,Urgent care services,Well-led,2
1-191582971,26/04/2017,Urgent care services,Overall,2
1-199797673,30/06/2017,Overall,Safe,1
1-199797673,30/06/2017,Overall,Effective,2
1-199797673,30/06/2017,Overall,Caring,3
1-199797673,30/06/2017,Overall,Responsive,2
1-199797673,30/06/2017,Overall,Well-led,2
1-199797673,30/06/2017,Overall,Overall,2
1-256729774,17/05/2017,Community dental services,Safe,1
1-256729774,17/05/2017,Community dental services,Effective,2
1-256729774,17/05/2017,Community dental services,Caring,2
1-256729774,17/05/2017,Community dental services,Responsive,2
1-256729774,17/05/2017,Community dental services,Well-led,2
1-256729774,17/05/2017,Community dental services,Overall,2
1-256729774,17/05/2017,Community health inpatient services,Safe,0
1-256729774,17/05/2017,Community health inpatient services,Effective,1
1-256729774,17/05/2017,Community health inpatient services,Caring,2
1-256729774,17/05/2017,Community health inpatient services,Responsive,2
1-256729774,17/05/2017,Community health inpatient services,Well-led,0
1-256729774,17/05/2017,Community health inpatient services,Overall,0
1-256729774,17/05/2017,Community health services for adults,Safe,0
1-256729774,17/05/2017,Community health services for adults,Effective,1
1-256729774,17/05/2017,Community health services for adults,Caring,2
