DATE,ORG_CODE,ACUTE_DTOC,NON_ACUTE_DTOC,TOTAL_DTOC
Aug-18,AXG,0,9.580645161,9.580645161
Aug-18,NAX,0,0.774193549,0.774193549
Aug-18,NDA,0,7.548387098,7.548387098
Aug-18,NDJ,0,0.129032258,0.129032258
Aug-18,NLT,0,4.709677419,4.709677419
Aug-18,NLX,0,0.290322581,0.290322581
Aug-18,NNF,0,0.419354839,0.419354839
Aug-18,NQ1,0,3.290322581,3.290322581
Aug-18,NQA,0,2.322580645,2.322580645
Aug-18,NQL,0,1.516129032,1.516129032
Aug-18,NQT5K,0,5.483870967,5.483870967
Aug-18,NR3,0,3.193548386,3.193548386
Aug-18,NR5,0,13.83870968,13.83870968
Aug-18,NR9,0,0,0
Aug-18,NTV,0,26.51612904,26.51612904
Aug-18,R0A,27.5483871,13.41935484,40.96774194
Aug-18,R1A,0,19.67741935,19.67741935
Aug-18,R1C,0,6.387096775,6.387096775
Aug-18,R1D,0,2.580645161,2.580645161
Aug-18,R1F,4.903225806,0,4.903225806
Aug-18,R1H,39.83870969,0,39.83870969
Aug-18,R1J,0,1.548387097,1.548387097
Aug-18,R1K,18.35483871,5.161290323,23.51612904
Aug-18,R1L,0,14.5483871,14.5483871
Aug-18,RA2,7.161290323,3.870967742,11.03225807
Aug-18,RA3,7.451612903,0,7.451612903
Aug-18,RA4,3.548387096,0,3.548387096
Aug-18,RA7,6.258064519,2.677419356,8.935483875
Aug-18,RA9,3.935483871,5.225806452,9.161290323
Aug-18,RAE,5.193548389,3.064516129,8.258064518
Aug-18,RAJ,13.74193549,0,13.74193549
Aug-18,RAL,14.48387097,1,15.48387097
Aug-18,RAN,0,1.870967743,1.870967743
Aug-18,RAP,7.354838711,0,7.354838711
Aug-18,RAS,4.322580646,0.096774194,4.41935484
Aug-18,RAT,0,2.322580646,2.322580646
Aug-18,RAX,11.80645162,0,11.80645162
Aug-18,RBA,6.709677419,0,6.709677419
Aug-18,RBD,14.4516129,0,14.4516129
Aug-18,RBK,14.64516129,0,14.64516129
Aug-18,RBL,8.354838712,0,8.354838712
Aug-18,RBN,13.64516129,4.096774194,17.74193549
Aug-18,RBQ,4.322580647,0,4.322580647
Aug-18,RBT,11.22580645,0.387096775,11.61290323
Aug-18,RBV,0.419354839,0,0.419354839
Aug-18,RBZ,1.580645162,0.290322581,1.870967743
Aug-18,RC1,13.77419355,0,13.77419355
Aug-18,RC9,13.93548387,0,13.93548387
Aug-18,RCB,28.64516129,4.548387098,33.19354839
Aug-18,RCD,4.548387097,1.483870968,6.032258065
Aug-18,RCF,4.83870968,0,4.83870968
Aug-18,RCX,16.5483871,0,16.5483871
Aug-18,RD1,20.19354839,0,20.19354839
Aug-18,RD3,15.58064516,0,15.58064516
Aug-18,RD8,14.77419355,0,14.77419355
Aug-18,RDD,10.32258065,0,10.32258065
Aug-18,RDE,18.51612903,4.741935485,23.25806452
Aug-18,RDR,0,11.80645161,11.80645161
Aug-18,RDU,37.96774194,4.806451613,42.77419355
Aug-18,RDY,0,31.67741936,31.67741936
Aug-18,RDZ,10.83870968,0,10.83870968
Aug-18,RE9,0.451612905,0,0.451612905
Aug-18,REF,25.06451613,0,25.06451613
Aug-18,REM,15.64516129,9.161290324,24.80645162
