QUESTION,DESCRIPTION
7a,My immediate manager encourages those who work for her/him to work as a team
7b,My immediate manager can be counted on to help me with a difficult task at work
7c,My immediate manager gives me clear feedback on my work
7d,My immediate manager asks for my opinion before making decisions that affect my work
7e,My immediate manager is supportive in a personal crisis
7f,My immediate manager takes a positive interest in my health and well-being.
7g,My immediate manager values my work.
8a,I know who the senior managers are here
8b,Communication between senior management and staff is effective
8c,Senior managers here try to involve staff in important decisions
8d,Senior managers act on staff feedback
