DATE,ORG_CODE,RTT_SCORE
Mar-18,AAH,95.51
Mar-18,AAV02,100.00
Mar-18,ACG03,100.00
Mar-18,ACG05,98.96
Mar-18,ACG07,99.83
Mar-18,ACG08,100.00
Mar-18,ACG09,97.00
Mar-18,ACG10,96.19
Mar-18,ACG12,99.40
Mar-18,ACG13,99.50
Mar-18,ACG16,100.00
Mar-18,ACG17,100.00
Mar-18,ACG18,100.00
Mar-18,ADN,95.97
Mar-18,ADP02,92.52
Mar-18,AHH,99.28
Mar-18,AJ8,100.00
Mar-18,AJX,73.19
Mar-18,DFY,96.69
Mar-18,NAM01,84.33
Mar-18,NCR,99.26
Mar-18,NDJ,98.95
Mar-18,NDL01,98.31
Mar-18,NEJ01,94.29
Mar-18,NEQ,100.00
Mar-18,NEY,81.78
Mar-18,NFH,97.79
Mar-18,NHT0N,94.21
Mar-18,NL8,88.03
Mar-18,NLE01,98.51
Mar-18,NLF06,98.86
Mar-18,NLT,96.23
Mar-18,NLW,84.29
Mar-18,NLX,96.21
Mar-18,NMG,97.85
Mar-18,NN4,92.62
Mar-18,NN5,92.87
Mar-18,NNE,94.20
Mar-18,NNF,75.94
Mar-18,NQA,100.00
Mar-18,NQH,99.81
Mar-18,NQM01,96.50
Mar-18,NQT5K,98.36
Mar-18,NQTF7,96.97
Mar-18,NQTH0,100.00
Mar-18,NQV,99.38
Mar-18,NQX01,100.00
Mar-18,NR3,100.00
Mar-18,NR5,98.00
Mar-18,NRP,99.64
Mar-18,NT202,94.69
Mar-18,NT204,97.19
Mar-18,NT205,37.06
Mar-18,NT206,96.69
Mar-18,NT209,99.07
Mar-18,NT210,95.65
Mar-18,NT211,100.00
Mar-18,NT212,96.49
Mar-18,NT213,86.19
Mar-18,NT214,76.91
Mar-18,NT215,49.04
Mar-18,NT218,96.77
Mar-18,NT219,99.20
Mar-18,NT224,93.04
Mar-18,NT225,94.40
Mar-18,NT226,99.85
Mar-18,NT229,98.71
Mar-18,NT230,94.12
Mar-18,NT233,97.60
Mar-18,NT235,82.62
Mar-18,NT237,99.30
Mar-18,NT238,93.85
Mar-18,NT241,98.78
Mar-18,NT242,91.10
Mar-18,NT244,96.15
Mar-18,NT245,95.07
Mar-18,NT301,82.51
Mar-18,NT302,76.91
Mar-18,NT304,89.43
Mar-18,NT305,95.04
Mar-18,NT308,84.97
Mar-18,NT309,97.16
Mar-18,NT30A,95.45
Mar-18,NT310,96.71
Mar-18,NT312,85.28
Mar-18,NT313,79.68
Mar-18,NT314,89.92
Mar-18,NT315,91.98
Mar-18,NT316,93.47
Mar-18,NT317,89.97
Mar-18,NT318,66.12
Mar-18,NT319,97.36
Mar-18,NT320,85.47
Mar-18,NT321,86.65
Mar-18,NT322,80.90
Mar-18,NT324,93.01
Mar-18,NT325,93.22
Mar-18,NT327,96.51
Mar-18,NT332,90.22
Mar-18,NT333,90.39
