DATE,YEAR,ORG_CODE,N_TOTAL,N_18_WEEKS,RTT_SCORE
31/03/2019,2018,R0A,89819,77555,0.863458734
31/03/2019,2018,RAE,23996,20394,0.849891649
31/03/2019,2018,RBL,27310,21849,0.800036617
31/03/2019,2018,RBN,21574,19937,0.924121628
31/03/2019,2018,RBQ,2071,1916,0.925156929
31/03/2019,2018,RBS,12746,11728,0.920131806
31/03/2019,2018,RBT,14197,12874,0.906811298
31/03/2019,2018,RBV,1490,1470,0.986577181
31/03/2019,2018,RCB,27494,22207,0.807703499
31/03/2019,2018,RCD,13378,11748,0.87815817
31/03/2019,2018,RCF,7551,6975,0.923718713
31/03/2019,2018,RCU,8437,7769,0.920824938
31/03/2019,2018,RE9,3453,3296,0.954532291
31/03/2019,2018,REM,17307,15400,0.88981337
31/03/2019,2018,REN,437,424,0.970251716
31/03/2019,2018,REP,5539,4715,0.851236685
31/03/2019,2018,RET,8996,8331,0.926078257
31/03/2019,2018,RFF,12064,11485,0.952005968
31/03/2019,2018,RFR,14683,13652,0.929782742
31/03/2019,2018,RHQ,45009,41761,0.927836655
31/03/2019,2018,RJL,26846,20451,0.761789466
31/03/2019,2018,RJN,7765,6116,0.787636832
31/03/2019,2018,RJR,20055,16793,0.837347295
31/03/2019,2018,RLN,30837,28407,0.92119856
31/03/2019,2018,RM3,42961,38224,0.889737204
31/03/2019,2018,RMC,22472,19587,0.871618014
31/03/2019,2018,RMP,13942,12887,0.924329365
31/03/2019,2018,RNL,21668,16354,0.754753554
31/03/2019,2018,RNN,3164,3037,0.959860936
31/03/2019,2018,RP5,31199,27705,0.888009231
31/03/2019,2018,RQ6,28021,22834,0.814888833
31/03/2019,2018,RR7,8541,7865,0.920852359
31/03/2019,2018,RR8,60643,53279,0.878568013
31/03/2019,2018,RRF,20830,19216,0.922515602
31/03/2019,2018,RT2,0,0,0
31/03/2019,2018,RTD,71972,66503,0.924012116
31/03/2019,2018,RTF,22395,20614,0.92047332
31/03/2019,2018,RTR,32590,29016,0.890334458
31/03/2019,2018,RTX,20263,16752,0.82672852
31/03/2019,2018,RV9,260,249,0.957692308
31/03/2019,2018,RVW,10984,10373,0.944373634
31/03/2019,2018,RVY,10697,10107,0.944844349
31/03/2019,2018,RW5,4942,4778,0.966815055
31/03/2019,2018,RW6,37245,31940,0.857564774
31/03/2019,2018,RWA,53074,40756,0.767908957
31/03/2019,2018,RWJ,23894,19887,0.832300996
31/03/2019,2018,RWW,18948,17519,0.924583069
31/03/2019,2018,RWY,27534,25349,0.920643568
31/03/2019,2018,RX4,185,185,1
31/03/2019,2018,RXF,33704,29237,0.867463803
31/03/2019,2018,RXG,1984,1973,0.994455645
31/03/2019,2018,RXL,18539,14950,0.806408113
31/03/2019,2018,RXN,32820,26005,0.792352224
31/03/2019,2018,RXP,21248,19264,0.906626506
31/03/2019,2018,RXR,30898,28239,0.91394265
31/03/2019,2018,RY2,1157,1151,0.994814175
31/03/2019,2018,RY6,1345,1286,0.956133829
31/03/2019,2018,RY7,5,5,1
31/03/2019,2018,TAD,497,486,0.977867203
31/03/2019,2018,R1A,499,493,0.987975952
31/03/2019,2018,R1D,4596,4379,0.95278503
31/03/2019,2018,RAJ,30976,26307,0.849270403
31/03/2019,2018,RBK,14197,12922,0.910192294
31/03/2019,2018,RC1,13905,12354,0.888457389
31/03/2019,2018,RC9,25553,23431,0.916956913
31/03/2019,2018,RCX,13562,10823,0.798038637
31/03/2019,2018,RD8,14553,13293,0.913419913
31/03/2019,2018,RDD,29614,22836,0.771121767
31/03/2019,2018,RDE,47338,41179,0.869893109
31/03/2019,2018,RFS,14836,13454,0.906848207
31/03/2019,2018,RGM,3342,3039,0.909335727
31/03/2019,2018,RGN,38746,32885,0.848732772
31/03/2019,2018,RGP,12904,10887,0.843691878
31/03/2019,2018,RGR,19729,16722,0.847584774
31/03/2019,2018,RGT,31856,28342,0.88969111
