YEAR,ORG_CODE,BEDS,BEDS_OCCUPIED_PERCENT
2010,5KG,7,0.43
2010,5KL,12,0.81
2010,5KM,44,0.81
2010,5ND,80,0.77
2010,5QR,93,0.80
2010,RE9,365,0.94
2010,RLN,893,0.81
2010,RR7,605,0.80
2010,RTD,1583,0.83
2010,RTF,1213,0.76
2010,RTR,1035,0.87
2010,RVW,703,0.76
2010,RX3,864,0.85
2010,RX4,1317,0.81
2010,RXP,1019,0.78
2010,5JX,12,0.98
2010,5NL,76,0.84
2010,5NN,68,0.97
2010,RBL,813,0.83
2010,RBN,716,0.87
2010,RBQ,148,0.80
2010,RBS,218,0.76
2010,RBT,610,0.83
2010,RBV,190,0.71
2010,REM,788,0.94
2010,REN,84,0.64
2010,REP,182,0.74
2010,RET,134,0.82
2010,RJN,392,0.87
2010,RJR,565,0.79
2010,RJX,228,0.95
2010,RM2,856,0.85
2010,RM3,767,0.85
2010,RM4,250,0.92
2010,RMC,653,0.85
2010,RMP,508,0.86
2010,RNL,657,0.77
2010,RQ6,892,0.86
2010,RRF,582,0.83
2010,RT2,507,0.88
2010,RTV,339,0.93
2010,RTX,795,0.83
2010,RVY,502,0.83
2010,RW3,1162,0.84
2010,RW4,411,0.87
2010,RW5,748,0.83
2010,RW6,1827,0.82
2010,RWJ,818,0.83
2010,RWW,643,0.80
2010,RXA,364,0.80
2010,RXL,855,0.85
2010,RXN,1010,0.88
2010,RXR,908,0.83
2010,RXV,626,0.91
2010,TAE,252,0.92
2010,5H8,18,0.55
2010,5JE,165,0.77
2010,5N1,45,0.80
2010,5N4,30,0.83
2010,5N5,76,0.81
2010,5NV,545,0.84
2010,RAE,743,0.77
2010,RCB,701,0.81
2010,RCC,369,0.85
2010,RCD,332,0.83
2010,RCF,389,0.86
2010,RCU,141,0.76
2010,RFF,484,0.83
2010,RGD,403,0.86
2010,RJL,875,0.68
2010,RP5,1237,0.68
2010,RR8,2136,0.83
2010,RV9,235,0.76
2010,RWA,1319,0.83
2010,RWY,904,0.82
2010,RXE,325,0.72
2010,RXF,1156,0.82
2010,RXG,445,0.85
2010,TAD,212,0.89
2010,TAH,266,0.89
2010,TAN,42,0.95
2010,5N6,501,0.74
2010,5N8,188,0.92
2010,5N9,60,0.96
2010,5PA,314,0.94
2010,5PD,134,0.88
2010,RFS,559,0.85
2010,RHA,1148,0.88
2010,RK5,667,0.90
2010,RNQ,570,0.87
2010,RNS,662,0.89
2010,RP1,339,0.86
2010,RP7,252,0.95
2010,RT5,515,0.90
2010,RTG,1004,0.83
2010,RWD,1274,0.90
2010,RWE,1687,0.84
2010,RX1,1642,0.86
2010,RXM,328,0.97
2010,5CN,72,0.75
2010,5M1,275,0.87
2010,5M2,107,0.96
2010,5M3,42,0.41
2010,5MV,171,0.92
2010,5MX,44,0.96
2010,5PG,18,0.86
2010,5PH,150,0.92
2010,5PJ,167,0.99
2010,5PK,6,0.54
2010,5PL,92,0.90
2010,5PM,130,0.80
2010,RBK,503,0.88
2010,RJC,484,0.84
2010,RJD,436,0.80
2010,RJE,1104,0.92
2010,RJF,446,0.80
2010,RKB,1162,0.86
2010,RL1,203,0.72
2010,RL4,660,0.92
2010,RLQ,262,0.96
2010,RLT,351,0.89
2010,RLU,138,0.77
2010,RLY,326,0.74
