YEAR,ORG_CODE,SIMPLE_CONSULTANTS_FTE
2009,50,3.2
2009,5A3,2.2
2009,5A4,9
2009,5A5,4
2009,5A7,9.9
2009,5A8,1
2009,5A9,0.68182
2009,5AT,3
2009,5C1,5.54545
2009,5C2,1.8
2009,5C3,7.09091
2009,5C4,6.1
2009,5C5,7.1
2009,5C9,5.65
2009,5CN,14.9
2009,5CQ,27.65455
2009,5D7,16.27727
2009,5D8,1
2009,5EF,0.4
2009,5EM,6.75
2009,5ET,0.4
2009,5F1,29.275
2009,5F5,5.75
2009,5F7,4.675
2009,5FE,24.55
2009,5FL,8.29091
2009,5GC,5.36364
2009,5H1,2.5
2009,5H8,4.0039
2009,5HG,2.417
2009,5HP,5
2009,5HQ,22.35
2009,5HX,8.57273
2009,5HY,4.6
2009,5J2,6.5
2009,5J4,1
2009,5J5,4.31966
2009,5J6,2.8
2009,5J9,2.49091
2009,5JE,19.31818
2009,5JX,2.45307
2009,5K3,2
2009,5K5,7.2
2009,5K6,5.5
2009,5K7,17.65
2009,5K8,14.05
2009,5K9,10.6
2009,5KF,5.916
2009,5KL,2.8
2009,5KM,1
2009,5L1,24.4
2009,5L3,4.1
2009,5LA,4.8
2009,5LC,4.2
2009,5LD,15
2009,5LE,9.10273
2009,5LF,6.4
2009,5LG,7.28455
2009,5LH,3.4
2009,5LQ,3
2009,5M1,42.05
2009,5M2,1
2009,5M3,11.4
2009,5M6,3.6
2009,5M7,4.8
2009,5MD,8.9
2009,5MK,12.75
2009,5MV,27.20458
2009,5MX,13.5
2009,5N1,29.975
2009,5N2,4.55833
2009,5N3,11.42667
2009,5N4,6.25
2009,5N5,3.57273
2009,5N6,4.07727
2009,5N7,8.946
2009,5N8,7.34545
2009,5N9,3.6026
2009,5NA,2.79946
2009,5NC,1
2009,5ND,2.7
2009,5NE,9.3
2009,5NF,3.6
2009,5NG,9.7461
2009,5NH,8.66916
2009,5NJ,6.2
2009,5NK,3.11364
2009,5NL,9.58364
2009,5NM,7.75
2009,5NN,5.5
2009,5NP,5.38182
2009,5NR,2.8
2009,5NT,14.613
2009,5NV,47.069
2009,5NW,2.469
2009,5NX,5.6
2009,5NY,4.44545
2009,5P1,1
2009,5P2,4
2009,5P3,13.87727
2009,5P4,1
2009,5P5,29.06045
2009,5P6,10.38042
2009,5P7,1
2009,5P8,2
2009,5P9,5.002
2009,5PA,4.05
2009,5PC,10.7
2009,5PD,14.1
2009,5PE,4
2009,5PF,7.39091
