ORG_CODE,YEAR,FINANCIAL_POSITION,OP_INCOME,OP_COST
RA2,2010,5982,233898,-223686
RA3,2010,2607,93199,-88779
RA4,2010,1089,106820,-105712
RA7,2010,13822,506620,-485914
RA9,2010,2522,212531,-208599
RAE,2010,4201.4292,318116.8959,-311931.5381
RAJ,2010,3436,248598,-240531
RAL,2010,6587,555783,-537751
RAN,2010,-911,102469,-101887
RAP,2010,3103,180593,-247513
RAS,2010,307,186612,-182833
RAT,2010,6872,170313,-166518
RAX,2010,2724,200066,-192742
RBA,2010,2405,239011,-232845
RBB,2010,81,20118,-20205
RBD,2010,-3098,147209,-147998
RBF,2010,882,82187,-77266
RBK,2010,3247,179749,-253556
RBL,2010,1021,280233,-274978
RBN,2010,296,252944,-267396
RBQ,2010,704,106320,-103633
RBS,2010,12931,177410,-162600
RBT,2010,1556,169760,-163320
RBV,2010,5479,181237,-177379
RBZ,2010,252,134710,-132351
RC1,2010,274,143694,-143622
RC3,2010,28,132949,-129918
RC9,2010,2993,211594,-206807
RCB,2010,592,247579,-245121
RCC,2010,1874,120611,-123032
RCD,2010,-551,125598,-123895
RCF,2010,225,127548,-125954
RCU,2010,2970,126053,-122816
RCX,2010,2778,164746,-159920
RD1,2010,4195,216361,-206836
RD3,2010,-4274,194711,-190525
RD7,2010,-13239.69688,223205.3031,-233618
RD8,2010,-6219,156914,-158602
RDD,2010,270,266711,-261732
RDE,2010,2188,225304,-224300
RDR,2010,675,189438,-188805
RDU,2010,7989,247286,-239769
RDY,2010,4004,88409,-81858
RDZ,2010,4014.8,234252,-225959.2
RE9,2010,324,105022,-101831
REF,2010,7544,310471,-303476
REM,2010,-444,268433,-270911
REN,2010,4835,69084,-65895
REP,2010,997,92578,-90156
RET,2010,2341,75589,-72146
RF4,2010,-32986,407107,-408838
RFF,2010,1053,153736,-151973
RFR,2010,-1474,184621,-183253
RFS,2010,10771,186411,-174695
RFW,2010,214,149638,-143152
RGC,2010,395,243828,-242146
RGD,2010,3791,127193,-119474
RGM,2010,5980,123150,-115845
RGN,2010,-637,224635,-386049
RGP,2010,4076,164167,-160749
RGQ,2010,1260,235136,-228141
RGR,2010,194,154318,-151909
RGT,2010,761,590409,-577613
RH5,2010,160,58036,-60588
RH8,2010,6867,350675,-338741
RHA,2010,6505,303957,-313320
RHM,2010,2859,514395,-506112
RHQ,2010,12459,803511,-788990
RHU,2010,159,446161,-423673
RHW,2010,2034.14803,302929.6247,-294938.4766
RHX,2010,161,39443,-40010
RJ1,2010,22418,992338,-953767
RJ2,2010,1058,222366,-214100
RJ6,2010,4913,241804,-231969
RJ7,2010,6459,604247,-593044
RJ8,2010,2515,75282,-70456
RJC,2010,2169,137272,-133077
RJD,2010,-13861,157789,-168178
RJE,2010,4141,418078,-409667
RJF,2010,9,146513,-143306
RJL,2010,-6346,292512,-295378
RJN,2010,806,118610,-116461
RJR,2010,1817,179541,-179186
RJX,2010,1168,56402,-53222
RJZ,2010,2466,585967,-567195
RK5,2010,556,257788,-384809
RK9,2010,18,391499,-383675
RKB,2010,4162,472923,-453168
RKE,2010,508,186300,-182907
RKL,2010,3970,253744,-242395
RL1,2010,1618,82357,-80654
RL4,2010,7964,306023,-289395
RLN,2010,2869,294687,-285350
RLQ,2010,46,121544,-115047
RLT,2010,112,108324,-106210
RLU,2010,506,89592,-93951
RLY,2010,698,86321,-83990
RM1,2010,4779,427024,-397382
RM2,2010,2453,348093,-335920
RM3,2010,6586.43956,346406.3157,-336261.8761
RM4,2010,319,96248,-95125
RMC,2010,1946,201109,-204074
RMP,2010,-1391,145477,-166131
RMY,2010,1826,134906,-130766
RN1,2010,147,146961,-143275
RN3,2010,0.243,202741,-187617
RN5,2010,1653,162205,-157760
RN7,2010,206,157195,-144226
RNA,2010,275,260349,-249430
RNH,2010,-7913,166706,-167794
RNJ,2010,6012,716314,-702294
RNK,2010,90,32385,-31976
RNL,2010,1356,222518,-212877
RNN,2010,2411,70738,-67900
RNQ,2010,1472,182657,-179839
RNS,2010,1109,236260,-230958
RNU,2010,4688.67,175896.67,-166422
RNZ,2010,35,178322,-172987
RP1,2010,367,110749,-110426
RP4,2010,8617,336307,-322991
RP5,2010,3348,330178,-322207
RP6,2010,10684.1217,148043,-135163.3728
RP7,2010,1060,95146,-94142
RPA,2010,-3518,218718,-217361
RPC,2010,2027,56821,-57473
RPG,2010,3883,159209,-152848
RPY,2010,5401,237314,-234686
RQ3,2010,6901.8,208782,-199775.2
RQ6,2010,4238,422274,-408825
RQ8,2010,3660,256086,-275444
RQM,2010,13805,331807,-308701
RQQ,2010,79,102255,-96562
RQW,2010,415,179388,-174887
RQX,2010,1897.78,188117,-187726.22
RQY,2010,2579,176230,-168174
RR1,2010,1216,561293,-561685
RR7,2010,3048.413,180827.85,-175661
RR8,2010,2051,934527,-905121
RRD,2010,1436,107350,-108776
RRE,2010,4066,161903,-155741
RRF,2010,4168,230886,-222132
RRJ,2010,1354,69375,-68467
RRK,2010,-6096.575,535705.425,-774989
RRP,2010,274,204547,-198542
RRU,2010,1002,283617,-279488
RRV,2010,11431.99437,745081,-692843.0056
RT1,2010,463,156091,-152218
RT2,2010,6445.7,138180.1,-128745.4
RT3,2010,4708.2,284020,-276804
RT5,2010,1700,138466,-144399
RT6,2010,335,87386,-91950
RTD,2010,124,783457,-756463
RTE,2010,1104,422713,-416325
RTF,2010,4486,319596,-308930
RTG,2010,1069.48712,422793.4871,-406227
RTH,2010,1289,663770,-625079
RTK,2010,3313,224599,-216306
RTP,2010,875,196030,-196626
RTQ,2010,1840,86425,-82254
RTR,2010,5886,474541,-445035
RTV,2010,2784.6,107242,-102482.4
RTX,2010,287,254422,-248627
RV3,2010,7916.16151,284962.0528,-279764.3026
RV5,2010,7378,372377,-358545
RV8,2010,258,370018,-358900
RV9,2010,2592,86286,-84038
RVJ,2010,7888,492883,-481888
RVL,2010,3154,348864,-335708
RVN,2010,3219,195955,-185708
RVR,2010,3332,334761,-326160
RVV,2010,8237,489764,-472861
RVW,2010,4853.98,267214.98,-259604
RVY,2010,853,153368,-148523
RW1,2010,1775,197664,-194165
RW3,2010,116,665282,-639382
RW4,2010,7359,200293,-189480
RW5,2010,2282,190441,-184551
RW6,2010,259,557007,-558537
RWA,2010,4701,480633,-470190
RWD,2010,-13880,392202,-399010
RWE,2010,1013,696257,-685085
RWF,2010,1710,322176,-333530
RWG,2010,7530,260398,-254475
RWH,2010,3328,340309,-333602
RWJ,2010,4576.573,222768,-214174.427
RWK,2010,3043.54651,255168.5465,-248919
RWN,2010,4719,202159,-191390
RWP,2010,287,321829,-309175
RWQ,2010,700,72788,-74563
RWR,2010,4397,211445,-203076
RWV,2010,616.2,129463,-126727.8
RWW,2010,1109,198893,-194276
RWX,2010,702.77903,116542.3,-113196.3075
RWY,2010,1352,320660,-304995
RX1,2010,5010,742215,-732073
RX2,2010,4600,224336,-226456
RX3,2010,7538,246706,-227946
RX4,2010,5152,313235,-300768
RX5,2010,849,86340,-85490
RX6,2010,3120,105991,-102672
