YEAR,ORG_CODE,OP_COST,OP_INCOME,FINANCIAL_POSITION
2016,RVN,223850000,214357000,-8918000
2016,RF4,564550000,557966000,-10874000
2016,RRP,208462000,202027000,-12268000
2016,R1H,1540502000,1488833000,-69481000
2016,RC1,202655000,192502000,-8300000
2016,RXH,627459000,550369000,-68501000
2016,RXQ,376084000,391843000,-1759000
2016,RYV,112908000,116570000,2098000
2016,RYX,206178000,212749000,5380000
2016,RYG,196867000,207857000,6072000
2016,RJ6,291646000,274671000,-23787000
2016,RN7,237267000,248546000,-382000
2016,RWV,142087000,148534000,4664000
2016,RYK,79174000,66293000,2199000
2016,RWH,443071000,411870000,-29533000
2016,RJN,180648000,165589000,-15149000
2016,RXR,458389000,477519000,3068000
2016,RX9,177580000,173109000,-4493000
2016,RYC,255627000,247134000,-9989000
2016,RXC,416746000,379307000,-43792000
2016,RVR,411303000,392161000,-12687000
2016,RLT,151717000,138457000,-13770000
2016,R1J,107918000,112624000,2309000
2016,RY4,144200000,148281000,2512000
2016,RQQ,137432000,115485000,-21169000
2016,RY9,66915000,70511000,2962000
2016,RWA,548861000,561128000,2616000
2016,RYJ,1070788000,1096575000,-15330000
2016,RGQ,314525000,296451000,-17578000
2016,R1F,178423000,171110000,-10960000
2016,RXY,180549000,183103000,-3311000
2016,RY6,144597000,148654000,3350000
2016,RR8,1200262000,1172927000,-1901000
2016,RT5,278087000,277664000,2244000
2016,RJ2,549757000,539242000,-20054000
2016,RY5,105499000,109336000,3940000
2016,RY1,131794000,130776000,-1096000
2016,RRU,345525000,355507000,6143000
2016,R1K,756021000,681059000,-61098000
2016,RWF,466121000,430502000,-10918000
2016,TAE,79296000,78973000,-1312000
2016,RQ8,327935000,315504000,-24306000
2016,RXF,513282000,504454000,-7873000
2016,RY3,127951000,133126000,2695000
2016,RVJ,547929000,530628000,-42922000
2016,RNL,275247000,251224000,-47328000
2016,RAP,293629000,276147000,-10464000
2016,RLY,79398000,81883000,2051000
2016,RX7,307927000,316422000,6965000
2016,RNS,309603000,298240000,-13847000
2016,RBZ,215057000,217580000,2232000
2016,RX1,944310000,934771000,-20108000
2016,RW6,637567000,643739000,-2412000
2016,RK9,482681000,450348000,-39900000
2016,RHU,531321000,530382000,-17645000
2016,REF,378031000,379462000,-929000
2016,RQ6,516265000,528959000,1329000
2016,RAN,145319000,140587000,-6796000
2016,RXK,459951000,460197000,-11933000
2016,RXW,351406000,350244000,-5631000
2016,R1D,76303000,79377000,2596000
2016,R1C,182084000,180675000,-2084000
2016,RQY,160708000,163263000,2710000
2016,RVY,204015000,186695000,-20709000
2016,RBN,318230000,349934000,4861000
2016,R1E,378417000,344832000,-32934000
2016,RTP,277820000,286335000,3672000
2016,RQW,233397000,209742000,-26715000
2016,RL4,538251000,536028000,8542000
2016,RKE,305157000,309255000,-3670000
2016,RWD,489001000,437324000,-56891000
2016,RJE,770128000,739279000,-27773000
2016,RKB,597177000,608790000,703000
2016,RWE,966303000,924269000,-27152000
2016,RBK,270848000,244742000,-21392000
2016,RWG,359022000,322643000,-29431000
2016,RKL,230927000,253050000,5038000
2016,RA3,110988000,105556000,-7185000
2016,RWP,416533000,403348000,-28748000
2016,R1A,178183000,173526000,5089000
2016,RLQ,208223000,177567000,-37204000
2016,RX8,250601000,255424000,2719000
2016,RTQ,112373000,112813000,1264000
2016,RTV,167759000,155361000,-55000
2016,REM,336047000,343371000,2181000
2016,RCF,155646000,164375000,6133000
2016,RBS,209644000,222592000,4821000
2016,RTK,273953805,288262866,7318061
2016,RFF,197558000,193062000,-6597000
2016,RDD,334599000,323445000,-13803000
2016,RWX,238001102,244592697,1661595
2016,RXT,257136897,233758097,2602985
2016,RYW,271835000,275044000,4767000
2016,RQ3,300480000,316696000,12068000
2016,RLU,85068000,84033000,-1121000
2016,RXL,411450000,410735000,3343000
2016,RMC,318192000,319959000,15577000
2016,TAD,133456087,136814000,3065913
2016,RAE,387542059,393573000,10526941
2016,RY2,161694237,164137929,2089692
2016,RJF,202438713,197161000,-7942921
2016,RWY,374837660,375251120,-14994070
2016,RJX,10495000,9698000,-1232000
2016,RGT,815849000,779536000,-53054720
2016,RT1,193370000,199807000,2263000
2016,TAF,135402000,139187000,67000
2016,RV3,459833305,473918644,11417006
2016,RW3,1138068000,1072828000,59234000
2016,RQM,595361000,624968000,9709000
2016,RXA,166820008,162536575,-112433
2016,RFS,235744000,235287000,10321000
2016,RLN,353457000,362815000,5417000
2016,RDE,316466000,302127000,-18942000
2016,RJ8,169102000,175739000,4831000
2016,RJR,228634000,230244000,-3556000
2016,RXP,468869000,481735000,11498000
2016,RNN,184183000,180472000,-2299000
2016,RTG,537393347,539063000,-11096141
2016,RY8,186656000,194590000,5702000
2016,RXM,129411000,135934000,3467000
2016,RP5,390092926,386665539,-5675847
2016,RBD,169575000,171203000,-1138000
2016,RDY,241307000,244098000,7413000
2016,RVV,588264000,565444370,-24020630
2016,RWK,346434000,359448585,4649585
2016,RDU,630035000,665235000,25814000
2016,RR7,237878698,246041432,4833764
2016,RTE,529885000,507420000,-17968000
2016,RP4,435280000,457521000,27147000
2016,RN3,306385000,341025000,4041000
2016,RXV,189407000,201636000,3182000
2016,RJ1,1380074000,1446510000,68031000
2016,RN5,375697000,385444000,9751000
2016,RCD,211094000,217782000,3529000
2016,RR1,725638000,709137000,-11306000
2016,RWR,211287000,224797000,10858000
2016,RQX,306506828,308344000,3109172
2016,RV9,142584000,142991000,1205000
2016,RGP,194593024,192043503,2577026
2016,RYY,223108000,227684000,4630000
2016,RNQ,257152000,234480000,-24953000
2016,RJZ,1167112000,1110218570,-48654430
2016,RAX,247961000,246834400,-3562600
2016,RW5,339037000,343934000,317000
2016,RXN,471794000,464867000,-14708000
2016,RGD,143896000,153332000,4838000
2016,RP7,94930000,98079000,2496000
2016,RBQ,125428000,128822000,-390000
2016,REP,112229000,109557000,-4744000
2016,RC9,292245538,309587689,12919464
2016,RPA,327646000,287735000,-42860000
2016,RW4,268812000,248065000,5914000
2016,RBT,223850000,227328000,1541000
2016,RJD,108000,0,-108000
2016,RD8,232481000,215313000,-20862874
2016,RP6,216519742,221958411,12759272
2016,RM1,558884904,564086000,-24859904
2016,RMY,238273099,215659000,-3339099
2016,RX6,119562000,121781000,1616000
2016,RAT,351270400,356058000,2698600
2016,RRD,111243000,99497000,-6875000
2016,RVW,291144800,292803893,2966093
2016,RP1,191633000,198193000,3619000
2016,RJL,375586000,344889000,-30426000
