HEE_REGION_CODE,HEE_REGION_NAME
YDF21,Health Education East Midlands
YDF22,Health Education East of England
YDF23,Health Education Yorkshire and the Humber
YDF24,Health Education Wessex
YDF25,Health Education Thames Valley
YDF26,Health Education North West London
YDF27,Health Education South London
YDF28,Health Education North Central and East London
YDF29,"Health Education Kent, Surrey and Sussex"
YDF30,Health Education North East
YDF31,Health Education North West
YDF32,Health Education West Midlands
YDF33,Health Education South West
