YEAR,ORG_CODE,TOTAL_EPISODES,ADMISSIONS,MALE_ADMISSIONS,FEMALE_ADMISSIONS,0-14,15-29,30-44,45-59,60-74,75-89,90+
2012,NTP13,2637,2437,1228,1409,0,57,266,707,1225,377,0
2012,NT427,1319,1319,663,656,0,94,235,432,442,107,0
2012,NT441,1938,1938,995,943,0,146,446,649,534,147,0
2012,NT450,1044,1044,562,482,0,104,137,223,353,218,0
2012,NVC27,2042,2042,1002,1040,0,105,275,490,710,443,10
2012,RFS,84259,70994,36124,48135,8735,10125,10449,12323,18850,19974,3672
2012,NV313,27963,27963,12297,15645,35,3212,4747,7207,7519,4666,323
2012,RTG,177623,140280,76605,101017,13130,20941,24264,27769,41942,41508,7251
2012,RY8,19709,19695,8927,10782,0,1095,2452,3794,5350,5899,1092
2012,RXM,1713,1394,837,876,0,272,476,441,283,209,23
2012,RNQ,85497,75229,37705,47792,10151,10325,11636,12653,19902,17439,3184
2012,RT5,7828,7304,3499,4329,0,939,1099,870,1037,2894,961
2012,RY5,1797,1797,837,960,0,35,115,240,443,776,173
2012,RP7,1389,1201,718,668,19,206,324,286,281,245,27
2012,RNS,106500,96237,45133,61362,14204,14845,16470,16835,23311,17496,2860
2012,RP1,2494,2408,1366,1127,287,763,664,378,198,186,17
2012,NTA04,2094,2094,952,1142,0,215,374,543,550,359,25
2012,RX1,227579,192230,101826,125750,27210,28716,30097,36454,52486,44398,7261
2012,NVC40,3385,3385,1651,1734,0,270,606,974,1033,491,10
2012,RHA,5246,4272,2884,2362,11,984,1373,902,700,1048,215
2012,NT213,1071,1071,563,508,0,54,135,279,410,187,0
2012,NT226,1650,1650,771,879,0,100,227,347,543,412,19
2012,RK5,99285,83058,41710,57574,9184,13463,13340,16136,21377,21479,3440
2012,NT322,1354,1354,799,555,0,81,329,327,375,224,10
2012,RWD,182367,152760,82349,100018,16112,20808,20364,27275,47110,43466,6936
2012,RWE,262750,222222,113383,149363,25396,37706,39876,41162,58409,50786,8476
2012,NVC23,4094,4094,1798,2296,0,335,816,1182,1191,540,25
2012,NYW01,1483,997,611,872,0,113,327,491,385,148,0
2012,RDD,98789,77481,43197,55592,10346,12676,13932,13928,23052,21277,3362
