YEAR,ORG_CODE,SIMPLE_MANAGERS_FTE
2009,50,55.38533
2009,5A3,40.6
2009,5A4,110.15542
2009,5A5,56.99461
2009,5A7,47.81584
2009,5A8,82.98379
2009,5A9,100.54442
2009,5AT,29.52378
2009,5C1,48.74697
2009,5C2,51.98178
2009,5C3,82.06791
2009,5C4,163.31916
2009,5C5,89.82379
2009,5C9,78.90901
2009,5CC,134.25013
2009,5CN,85.63227
2009,5CQ,115.2452
2009,5D7,140.7281
2009,5D8,29.35226
2009,5D9,9.70667
2009,5EF,52.59666
2009,5EM,116.65318
2009,5ET,31.91333
2009,5F1,122.91667
2009,5F5,142.16933
2009,5F7,62.04901
2009,5FE,134.99387
2009,5FL,32.61654
2009,5GC,57.04667
2009,5H1,75.32662
2009,5H8,77.992
2009,5HG,134.81558
2009,5HP,38.62667
2009,5HQ,55.82932
2009,5HX,60.27919
2009,5HY,54.07234
2009,5J2,56.472
2009,5J4,97.09335
2009,5J5,65.7
2009,5J6,47.33013
2009,5J9,35.70667
2009,5JE,56.14545
2009,5JX,87.16168
2009,5K3,41.664
2009,5K5,72.47327
2009,5K6,66.01049
2009,5K7,118.889
2009,5K8,99.57056
2009,5K9,134.519
2009,5KF,56.17717
2009,5KG,21.89334
2009,5KL,228.16068
2009,5KM,40.05792
2009,5L1,21.11334
2009,5L3,88.19819
2009,5LA,74.84889
2009,5LC,64.21081
2009,5LD,67.58226
2009,5LE,85.64574
2009,5LF,45.7
2009,5LG,84.16174
2009,5LH,119.56
2009,5LQ,58.85437
2009,5M1,147.63482
2009,5M2,51.86454
2009,5M3,80.08
2009,5M6,62.74084
2009,5M7,67.96614
2009,5M8,84.63926
2009,5MD,105.61253
2009,5MK,77.76794
2009,5MV,68.07333
2009,5MX,178.71603
2009,5N1,118.33147
2009,5N2,74.86666
2009,5N3,36.5
2009,5N4,107.48919
2009,5N5,65.621
2009,5N6,205.4885
2009,5N7,47.5424
2009,5N8,234.75022
2009,5N9,214.40031
2009,5NA,76.1527
2009,5NC,52.33445
2009,5ND,54.9
2009,5NE,82.61565
2009,5NF,89.17974
2009,5NG,202.93815
2009,5NH,43.54193
2009,5NJ,24
2009,5NK,202.47572
2009,5NL,293.65129
2009,5NM,52.05333
2009,5NN,74.55643
2009,5NP,95.84015
2009,5NQ,68.68495
2009,5NR,89.57119
2009,5NT,191.70343
2009,5NV,170.80977
2009,5NW,65.35333
2009,5NX,138.00061
2009,5NY,173.33526
2009,5P1,155.648
2009,5P2,125.05104
2009,5P3,152.27836
2009,5P4,65.04324
2009,5P5,241.1782
2009,5P6,183.24798
2009,5P7,90.3519
2009,5P8,50.35856
2009,5P9,182.93299
2009,5PA,112.34413
2009,5PC,45.10541
2009,5PD,141.62735
2009,5PE,61.16667
2009,5PF,155.1666
2009,5PG,117.13745
2009,5PH,85.30445
2009,5PJ,152.78516
2009,5PK,73.76533
2009,5PL,60.33335
2009,5PM,114.95637
2009,5PN,53.90151
2009,5PP,125.27454
2009,5PQ,177.23359
2009,5PR,68.90068
2009,5PT,129.82603
2009,5PV,96.94437
2009,5PW,80.43602
2009,5PX,95.06552
2009,5PY,185.37866
2009,5QA,289.53493
2009,5QC,123.19423
2009,5QD,122.32636
2009,5QE,186.24923
2009,5QF,112.50121
2009,5QG,89.5127
2009,5QH,139.18212
2009,5QJ,141.11338
2009,5QK,101.16454
2009,5QL,63.44035
2009,5QM,189.13576
2009,5QN,47.04584
2009,5QP,115.04997
2009,5QQ,235.40562
2009,5QR,35.86
2009,5QT,71.21054
2009,AHO,98.65622
2009,Q30,116.62362
