DATE,ORG_CODE,GRADE_SORT_ORDER,GRADE,SPECIALITY_GROUP,SPECIALTY,FTE
30/09/2017,RGQ,8,Foundation Doctor Year 1,Anaesthetics,Anaesthetics,2
30/09/2017,RGQ,8,Foundation Doctor Year 1,Emergency Medicine,Emergency Medicine,6
30/09/2017,RGQ,8,Foundation Doctor Year 1,General medicine group,Endocrinology and diabetes mellitus,2
30/09/2017,RGQ,8,Foundation Doctor Year 1,General medicine group,Gastroenterology,1
30/09/2017,RGQ,8,Foundation Doctor Year 1,General medicine group,Geriatric medicine,6
30/09/2017,RGQ,8,Foundation Doctor Year 1,General medicine group,Respiratory medicine,2
30/09/2017,RGQ,8,Foundation Doctor Year 1,Paediatric group,Paediatrics,0.6
30/09/2017,RGQ,8,Foundation Doctor Year 1,Psychiatry group,General psychiatry,3
30/09/2017,RGQ,8,Foundation Doctor Year 1,Surgical group,General surgery,7
30/09/2017,RGQ,8,Foundation Doctor Year 1,Surgical group,Trauma and orthopaedic surgery,3
30/09/2017,RGQ,9,Hospital Practitioner / Clinical Assistant,General medicine group,Dermatology,0.538
30/09/2017,RGQ,9,Hospital Practitioner / Clinical Assistant,Surgical group,Otolaryngology,0.04545
30/09/2017,RGQ,9,Hospital Practitioner / Clinical Assistant,Surgical group,Trauma and orthopaedic surgery,0.1
30/09/2017,RGQ,10,Other and Local HCHS Doctor Grades,Dental group,Additional dental specialties,0.25
30/09/2017,RGQ,10,Other and Local HCHS Doctor Grades,Paediatric group,Paediatrics,1
30/09/2017,RGR,1,Consultant (including Directors of Public Health),Anaesthetics,Anaesthetics,29.0375
30/09/2017,RGR,1,Consultant (including Directors of Public Health),Emergency Medicine,Emergency Medicine,6.8
30/09/2017,RTG,3,Specialty Doctor,General medicine group,Rheumatology,0.1
30/09/2017,RTG,3,Specialty Doctor,Paediatric group,Paediatrics,0.82
30/09/2017,RTG,3,Specialty Doctor,Surgical group,Ophthalmology,4
30/09/2017,RTG,3,Specialty Doctor,Surgical group,Urology,2
30/09/2017,RTG,5,Specialty Registrar,Anaesthetics,Anaesthetics,19.6
30/09/2017,RTG,5,Specialty Registrar,Clinical oncology,Clinical oncology,6
30/09/2017,RTG,5,Specialty Registrar,Dental group,Oral and maxillo-facial surgery,1
30/09/2017,RTG,5,Specialty Registrar,Dental group,Orthodontics,5.6
30/09/2017,RTG,5,Specialty Registrar,Emergency Medicine,Emergency Medicine,26
30/09/2017,RTG,5,Specialty Registrar,General medicine group,Acute Internal Medicine,14.40657
30/09/2017,RTG,5,Specialty Registrar,General medicine group,Cardiology,7
30/09/2017,RTG,5,Specialty Registrar,General medicine group,Dermatology,5.6
30/09/2017,RTG,5,Specialty Registrar,General medicine group,Endocrinology and diabetes mellitus,4
30/09/2017,RTG,5,Specialty Registrar,General medicine group,Gastroenterology,8.4
30/09/2017,RTG,5,Specialty Registrar,General medicine group,General (internal) medicine,19.6
30/09/2017,RTG,5,Specialty Registrar,General medicine group,Geriatric medicine,9
30/09/2017,RTG,5,Specialty Registrar,General medicine group,Palliative medicine,3
30/09/2017,RGR,1,Consultant (including Directors of Public Health),General medicine group,Cardiology,3
30/09/2017,RGR,1,Consultant (including Directors of Public Health),General medicine group,Dermatology,3.09
30/09/2017,RGR,1,Consultant (including Directors of Public Health),General medicine group,Endocrinology and diabetes mellitus,2.625
30/09/2017,RGR,1,Consultant (including Directors of Public Health),General medicine group,Gastroenterology,4
30/09/2017,RGR,1,Consultant (including Directors of Public Health),General medicine group,General (internal) medicine,9.92
30/09/2017,RGR,1,Consultant (including Directors of Public Health),General medicine group,Geriatric medicine,7.6
30/09/2017,RGR,1,Consultant (including Directors of Public Health),General medicine group,Medical oncology,3.9
30/09/2017,RGR,1,Consultant (including Directors of Public Health),General medicine group,Neurology,2.9
30/09/2017,RGR,1,Consultant (including Directors of Public Health),General medicine group,Respiratory medicine,3.77
30/09/2017,RGR,1,Consultant (including Directors of Public Health),General medicine group,Rheumatology,3.1
30/09/2017,RGR,1,Consultant (including Directors of Public Health),Obstetrics & gynaecology,Obstetrics and Gynaecology,11
30/09/2017,RGR,1,Consultant (including Directors of Public Health),Paediatric group,Paediatrics,14.55
30/09/2017,RGR,1,Consultant (including Directors of Public Health),Pathology group,Haematology,3.85
30/09/2017,RGR,1,Consultant (including Directors of Public Health),Pathology group,Histopathology,7.3
30/09/2017,RTG,5,Specialty Registrar,General medicine group,Rehabilitation medicine,1
30/09/2017,RTG,5,Specialty Registrar,General medicine group,Renal medicine,4.6
30/09/2017,RTG,5,Specialty Registrar,General medicine group,Respiratory medicine,7.3018
30/09/2017,RTG,5,Specialty Registrar,General medicine group,Rheumatology,3
30/09/2017,RTG,5,Specialty Registrar,Obstetrics & gynaecology,Obstetrics and Gynaecology,22.53125
30/09/2017,RTG,5,Specialty Registrar,Paediatric group,Paediatrics,24.925
30/09/2017,RTG,5,Specialty Registrar,Pathology group,Haematology,1
30/09/2017,RTG,5,Specialty Registrar,Pathology group,Histopathology,2
30/09/2017,RTG,5,Specialty Registrar,Radiology group,Clinical radiology,10
30/09/2017,RTG,5,Specialty Registrar,Surgical group,General surgery,24
30/09/2017,RTG,5,Specialty Registrar,Surgical group,Ophthalmology,5.6625
30/09/2017,RTG,5,Specialty Registrar,Surgical group,Otolaryngology,4
30/09/2017,RTG,5,Specialty Registrar,Surgical group,Trauma and orthopaedic surgery,25.8
30/09/2017,RTG,5,Specialty Registrar,Surgical group,Urology,4
30/09/2017,RTG,6,Core Training,Anaesthetics,Anaesthetics,9
30/09/2017,RTG,6,Core Training,Dental group,Oral and maxillo-facial surgery,7
30/09/2017,RTG,6,Core Training,Emergency Medicine,Emergency Medicine,2
30/09/2017,RGR,1,Consultant (including Directors of Public Health),Pathology group,Medical microbiology,2.8
30/09/2017,RGR,1,Consultant (including Directors of Public Health),PHM & CHS group,Community Health Service Medical,3.95
30/09/2017,RGR,1,Consultant (including Directors of Public Health),Radiology group,Clinical radiology,11.97614
30/09/2017,RGR,1,Consultant (including Directors of Public Health),Surgical group,General surgery,8
30/09/2017,RGR,1,Consultant (including Directors of Public Health),Surgical group,Ophthalmology,6.55
30/09/2017,RGR,1,Consultant (including Directors of Public Health),Surgical group,Otolaryngology,3.11818
30/09/2017,RGR,1,Consultant (including Directors of Public Health),Surgical group,Plastic surgery,2
30/09/2017,RGR,1,Consultant (including Directors of Public Health),Surgical group,Trauma and orthopaedic surgery,11
30/09/2017,RGR,1,Consultant (including Directors of Public Health),Surgical group,Urology,4
30/09/2017,RGR,2,Associate Specialist,Emergency Medicine,Emergency Medicine,1
30/09/2017,RGR,2,Associate Specialist,General medicine group,Gastroenterology,1
30/09/2017,RGR,2,Associate Specialist,General medicine group,General (internal) medicine,1
30/09/2017,RGR,2,Associate Specialist,General medicine group,Geriatric medicine,1
30/09/2017,RGR,2,Associate Specialist,Surgical group,General surgery,1.3533
30/09/2017,RGR,2,Associate Specialist,Surgical group,Otolaryngology,0.625
30/09/2017,RGR,2,Associate Specialist,Surgical group,Trauma and orthopaedic surgery,1
30/09/2017,RFR,2,Associate Specialist,Surgical group,Otolaryngology,1
30/09/2017,RFR,2,Associate Specialist,Surgical group,Trauma and orthopaedic surgery,1.45455
30/09/2017,RFR,3,Specialty Doctor,Anaesthetics,Anaesthetics,9.4
30/09/2017,RFR,3,Specialty Doctor,Dental group,Oral and maxillo-facial surgery,1.8
30/09/2017,RFR,3,Specialty Doctor,Dental group,Orthodontics,0.275
30/09/2017,RFR,3,Specialty Doctor,Emergency Medicine,Emergency Medicine,2.6
30/09/2017,RFR,3,Specialty Doctor,General medicine group,Dermatology,0.962
30/09/2017,RFR,3,Specialty Doctor,General medicine group,Genito-urinary medicine,1
30/09/2017,RFR,3,Specialty Doctor,General medicine group,Geriatric medicine,1
30/09/2017,RFR,3,Specialty Doctor,General medicine group,Palliative medicine,1.85
