YEAR,ORG_CODE,SHMI
2012,R1F,1.123
2012,R1H,0.8015
2012,RA2,0.9447
2012,RA3,1.0137
2012,RA4,0.9498
2012,RA7,0.9231
2012,RA9,0.9617
2012,RAE,0.9889
2012,RAJ,1.0205
2012,RAL,0.7924
2012,RAP,0.7705
2012,RAS,0.9011
2012,RAX,0.9312
2012,RBA,0.9958
2012,RBD,1.0716
2012,RBK,1.0171
2012,RBL,1.0772
2012,RBN,1.0504
2012,RBT,1.1646
2012,RBZ,0.9155
2012,RC1,1.1003
2012,RC3,0.8422
2012,RC9,1.0212
2012,RCB,1.0226
2012,RCD,1.0095
2012,RCF,0.9686
2012,RCX,1.0154
2012,RD1,0.9952
2012,RD3,0.9227
2012,RD7,1.045
2012,RD8,1.0568
2012,RDD,1.1246
2012,RDE,1.1551
2012,RDU,0.9097
2012,RDZ,1.0504
2012,RE9,1.0933
2012,REF,1.0358
2012,REM,1.1597
2012,RF4,0.9741
2012,RFF,1.0357
2012,RFR,1.1195
2012,RFS,1.061
2012,RFW,0.9438
2012,RGN,1.0142
2012,RGP,0.8464
2012,RGQ,1.0084
2012,RGR,0.8941
2012,RGT,0.8449
2012,RH8,0.8919
2012,RHM,0.9751
2012,RHQ,0.8848
2012,RHU,1.0365
2012,RHW,1.0687
2012,RJ1,0.7791
2012,RJ2,0.8782
2012,RJ6,0.9172
2012,RJ7,0.8134
2012,RJC,1.0419
2012,RJD,0.9223
2012,RJE,1.0448
2012,RJF,1.0187
2012,RJL,1.1137
2012,RJN,1.0116
2012,RJR,1.075
2012,RJZ,0.8629
2012,RK5,1.0732
2012,RK9,0.9509
2012,RKB,0.9789
2012,RKE,0.6523
2012,RL4,1.0242
2012,RLN,1.015
2012,RLQ,1.1257
2012,RLT,1.091
2012,RM1,0.9916
2012,RM2,0.9752
2012,RM3,0.9071
2012,RMC,1.0362
2012,RMP,1.1229
2012,RN3,0.9735
2012,RN5,1.0333
2012,RN7,0.9527
2012,RNA,1.1126
2012,RNL,1.0869
2012,RNQ,1.0219
2012,RNS,1.1584
2012,RNZ,1.0732
2012,RP5,1.0556
2012,RPA,1.0826
2012,RQ6,1.0733
2012,RQ8,1.0975
2012,RQM,0.8181
2012,RQQ,0.9742
2012,RQW,1.0228
2012,RQX,0.9493
2012,RR1,1.0787
2012,RR7,1.0305
2012,RR8,0.9395
2012,RRF,1.0888
2012,RRK,1.056
2012,RRV,0.7114
2012,RTD,0.9152
2012,RTE,1.0122
2012,RTF,1.0748
2012,RTG,1.1027
2012,RTH,0.9477
2012,RTK,0.9409
2012,RTP,0.95
2012,RTR,1.0444
2012,RTX,1.0121
2012,RV8,0.8165
2012,RVJ,0.9683
2012,RVL,0.8579
2012,RVR,0.9412
2012,RVV,0.9618
2012,RVW,1.1206
2012,RVY,1.0487
2012,RW3,1.0455
2012,RW6,1.0736
2012,RWA,1.0248
2012,RWD,1.0792
2012,RWE,1.0643
2012,RWF,0.9836
2012,RWG,1.0734
2012,RWH,1.1194
2012,RWJ,0.9404
2012,RWP,1.0265
2012,RWW,1.129
2012,RWY,1.0206
2012,RX1,0.9396
2012,RXC,1.0768
2012,RXF,0.9686
2012,RXH,0.9738
2012,RXK,0.9763
2012,RXL,1.1697
2012,RXN,1.0191
2012,RXP,1.0451
2012,RXQ,1.1047
2012,RXR,1.1197
2012,RXW,1.0656
2012,RYJ,0.7778
2012,RYQ,1.0553
2012,RYR,1.0196
2013,R1F,1.066
2013,R1H,0.803
2013,RA2,0.887
2013,RA3,1.026
2013,RA4,1.051
2013,RA7,0.961
2013,RA9,0.938
2013,RAE,0.979
2013,RAJ,1.04
2013,RAL,0.825
2013,RAP,0.876
2013,RAS,0.87
2013,RAX,0.896
2013,RBA,0.967
2013,RBD,1.112
2013,RBK,1.006
2013,RBL,1.014
2013,RBN,1.001
2013,RBT,1.037
2013,RBZ,0.913
2013,RC1,1.063
2013,RC3,0.819
2013,RC9,1.021
2013,RCB,0.994
2013,RCD,0.975
2013,RCF,0.87
2013,RCX,1.018
2013,RD1,0.978
2013,RD3,1.005
2013,RD7,0.955
2013,RD8,0.957
2013,RDD,1.074
2013,RDE,1.056
2013,RDU,0.912
2013,RDZ,1.062
2013,RE9,1.146
2013,REF,1.08
2013,REM,1.151
2013,RF4,0.988
2013,RFF,1.102
2013,RFR,1.053
2013,RFS,0.993
2013,RFW,0.96
2013,RGN,1.003
2013,RGP,1.104
2013,RGQ,1.074
2013,RGR,0.918
2013,RGT,0.877
2013,RH8,0.928
2013,RHM,0.995
2013,RHQ,0.909
2013,RHU,1.05
2013,RHW,1.035
2013,RJ1,0.817
2013,RJ2,1.03
2013,RJ6,0.996
2013,RJ7,0.814
2013,RJC,0.945
2013,RJD,0.915
2013,RJE,1.048
2013,RJF,0.98
2013,RJL,1.077
2013,RJN,0.989
2013,RJR,1.118
2013,RJZ,0.902
2013,RK5,1.043
2013,RK9,0.968
2013,RKB,1.015
2013,RKE,0.539
2013,RL4,0.986
2013,RLN,1.116
2013,RLQ,1.166
2013,RLT,1.051
2013,RM1,0.969
2013,RM2,0.964
2013,RM3,0.944
2013,RMC,1.056
2013,RMP,1.144
2013,RN3,0.96
2013,RN5,1.016
2013,RN7,1.001
2013,RNA,1.067
2013,RNL,0.966
2013,RNQ,1.01
2013,RNS,1.01
2013,RNZ,1.032
2013,RP5,1.104
2013,RPA,1.169
2013,RQ6,1.071
2013,RQ8,1.05
2013,RQM,0.813
2013,RQQ,1.009
2013,RQW,0.999
2013,RQX,0.829
2013,RR1,1.082
2013,RR7,0.979
2013,RR8,1.01
2013,RRF,1.077
2013,RRK,1.045
2013,RRV,0.803
2013,RTD,0.943
2013,RTE,1.067
2013,RTF,1.097
2013,RTG,1.09
2013,RTH,0.99
2013,RTK,0.908
2013,RTP,0.944
2013,RTR,1.013
2013,RTX,1.076
2013,RV8,0.83
2013,RVJ,0.98
2013,RVL,0.892
2013,RVR,0.976
2013,RVV,1.015
2013,RVW,1.16
