YEAR,ORG_CODE,STABILITY
2017,RY8,85.54
2017,RXM,88.64
2017,RX9,89.23
2017,RNQ,85.86
2017,RT5,85.35
2017,RY5,75.14
2017,RP7,83.93
2017,03V,69.23
2017,03W,73.96
2017,03X,84.38
2017,03Y,69.57
2017,04C,81.91
2017,03T,70.21
2017,04D,89.80
2017,04E,77.11
2017,04G,72.50
2017,04H,83.33
2017,04J,88.89
2017,04K,80.88
2017,04L,92.16
2017,04M,78.57
2017,04N,83.67
2017,99D,72.22
2017,04Q,76.67
2017,04R,79.65
2017,04V,75.00
2017,RNS,85.63
2017,RP1,86.64
2017,RX1,86.83
2017,RHA,85.21
2017,RK5,88.40
2017,RWD,87.09
2017,RTG,89.18
2017,RWE,88.42
2017,RDD,84.13
2017,RC1,86.72
2017,RGT,81.57
2017,RT1,82.88
2017,RYV,80.28
2017,RWH,85.37
2017,RYC,90.00
2017,RDE,85.90
2017,R1L,78.27
2017,RY4,77.23
2017,RWR,84.02
2017,RGQ,86.59
2017,RGP,90.34
2017,RC9,85.12
2017,RQ8,83.84
2017,99E,89.47
2017,06F,84.15
2017,06H,78.08
2017,99F,77.42
2017,06K,84.51
2017,06M,68.82
2017,06N,80.42
2017,06P,80.90
2017,06Q,75.71
2017,06T,82.03
2017,06V,84.62
2017,06W,92.68
2017,06Y,71.70
2017,99G,85.25
2017,07G,82.69
2017,07H,79.66
2017,07J,72.22
2017,07K,80.42
2017,RM1,88.25
2017,RMY,87.56
2017,RY3,65.10
2017,RGN,85.92
2017,RQW,85.73
2017,RCX,86.66
2017,RGM,77.11
2017,RAJ,85.81
2017,RWG,82.32
2017,RGR,86.15
2017,RCF,85.64
2017,RFF,88.74
2017,TAD,85.47
2017,RAE,87.57
2017,RWY,85.33
2017,RP5,86.63
2017,RCD,86.02
2017,RWA,89.83
2017,RV9,69.20
2017,RGD,85.00
2017,RY6,82.67
2017,RR8,87.59
2017,RXF,87.07
2017,02N,83.33
2017,02P,83.19
2017,02Q,84.62
2017,02W,75.00
2017,02R,87.58
2017,02T,86.36
2017,02X,84.97
2017,02Y,90.00
2017,03A,89.66
2017,03D,84.85
2017,03E,79.59
2017,03F,82.89
2017,02V,0.00
2017,03G,0.00
2017,03C,0.00
2017,03H,86.36
2017,03J,79.76
2017,03K,73.91
2017,03L,92.16
2017,03M,45.24
2017,03N,87.54
2017,03Q,76.54
2017,03R,83.66
2017,RJL,87.55
2017,RXE,81.90
2017,RFR,88.12
2017,RCU,85.63
2017,TAH,80.30
2017,RHQ,89.51
2017,RXG,84.86
2017,RCB,87.95
2017,RX8,88.17
2017,RBD,85.23
2017,RDY,84.00
2017,RN5,85.54
2017,R1F,88.96
2017,11J,82.35
2017,10K,85.71
2017,10L,80.22
2017,99M,74.00
2017,10J,85.45
2017,10R,84.38
2017,10V,85.06
2017,10X,84.76
2017,11A,82.89
2017,RD3,85.65
2017,RHU,86.36
2017,RDZ,87.32
2017,RNZ,83.16
2017,R1C,83.22
2017,RW1,80.66
2017,RHM,86.12
2017,RWX,81.92
2017,RXQ,83.27
2017,RD8,84.57
2017,10Y,0.00
2017,10G,0.00
2017,10H,0.00
2017,04F,85.23
2017,10M,0.00
2017,10N,0.00
2017,10Q,79.17
2017,10T,0.00
2017,10W,0.00
2017,11C,0.00
2017,11D,0.00
2017,RNU,79.22
2017,RTH,83.65
2017,RHW,83.80
2017,RYE,83.78
2017,RV3,80.60
2017,RYX,74.90
2017,RQM,81.34
2017,RAS,85.59
2017,RY9,76.47
2017,RYJ,82.65
2017,RRU,88.74
2017,R1K,82.13
2017,07P,78.07
2017,09A,66.53
2017,07W,76.00
2017,08C,81.82
2017,08E,72.09
2017,08G,82.54
2017,07Y,75.93
2017,08Y,78.72
2017,RT3,82.07
2017,RPY,81.20
2017,RKL,83.92
2017,RJ6,81.72
2017,RVR,85.40
2017,RJ1,82.75
2017,RJZ,82.60
2017,RAX,81.69
2017,RJ2,82.38
2017,07N,66.23
2017,07Q,77.00
2017,07V,52.00
2017,08A,65.67
2017,08J,72.92
2017,08K,79.49
2017,08L,77.78
2017,08R,64.00
2017,08P,63.16
2017,08Q,70.79
2017,08T,74.19
2017,08X,70.87
2017,RPG,80.61
2017,RV5,80.80
2017,RQY,81.98
2017,RJ7,78.38
2017,RF4,86.09
2017,RRP,84.85
2017,R1H,81.61
2017,TAF,76.14
2017,RWK,78.57
2017,RP4,80.04
2017,RQX,80.04
2017,07L,61.54
2017,07M,72.13
2017,07R,67.62
2017,07T,77.94
2017,07X,72.83
2017,08D,71.43
2017,08F,76.92
2017,08H,67.31
2017,08M,71.93
2017,08N,79.20
2017,08V,74.71
2017,08W,88.14
2017,RAT,80.51
2017,RAP,82.69
2017,RAL,80.76
2017,RAN,84.23
2017,RNK,81.14
2017,RRV,83.65
2017,RKE,79.58
2017,RTK,84.00
2017,RXH,85.21
2017,RN7,85.24
2017,RVV,86.32
2017,RXC,88.27
2017,RDU,84.79
2017,RXY,81.77
2017,RYY,79.74
2017,RWF,85.41
2017,RPA,82.60
2017,09C,54.55
2017,09D,85.83
2017,09E,61.54
2017,09G,83.80
2017,09J,76.67
2017,09L,78.13
2017,09F,72.73
2017,09N,87.78
2017,09P,84.87
2017,99K,84.06
2017,09X,73.28
2017,09W,63.29
2017,09Y,76.70
2017,10A,77.46
2017,99H,77.96
2017,10C,93.94
2017,10D,83.67
2017,10E,88.14
2017,99J,70.53
2017,RPC,83.97
2017,RA2,82.74
2017,RYD,81.49
2017,RXX,77.09
2017,RTP,83.97
2017,RDR,83.93
2017,RX2,79.71
2017,RYR,87.00
2017,RLN,89.53
2017,RXP,86.73
2017,RR7,89.07
2017,RTD,88.88
2017,00D,100.00
2017,00J,100.00
2017,00M,80.61
2017,00P,92.31
2017,RX6,90.01
2017,RVW,89.37
2017,RX4,81.13
2017,RTF,83.20
2017,RTR,88.53
2017,RE9,88.73
2017,RX3,89.14
2017,REM,88.30
2017,RBS,87.84
2017,RXL,87.96
2017,RMC,88.66
